admin1,MMWRyear,MMWRweek,,
Kongo-Central,2017,36,,
Kongo-Central,2017,32,,
Kongo-Central,2017,30,,
Kongo-Central,2017,26,,
Kongo-Central,2017,20,,
Kongo-Central,2017,18,,
Kongo-Central,2017,10,,
Kongo-Central,2017,8,,
Kongo-Central,2017,5,,
Kongo-Central,2017,4,,
Kongo-Central,2018,49,,
Kongo-Central,2018,44,,
Kongo-Central,2018,40,,
Kongo-Central,2018,36,,
Kongo-Central,2018,33,,
Kongo-Central,2018,20,,
Kongo-Central,2018,19,,
Kongo-Central,2018,13,,
Kongo-Central,2018,1,,
Kwilu,2017,51,,
Kwilu,2017,32,,
Kwilu,2017,24,,
Kwilu,2017,21,,
Kwilu,2017,16,,
Kwilu,2017,3,,
Lualaba,2020,13,,
Maï-Ndombe,2011,37,,
Maï-Ndombe,2011,17,,
Maï-Ndombe,2012,25,,
Maï-Ndombe,2016,38,,
Maï-Ndombe,2016,17,,
Maï-Ndombe,2016,7,,
Maï-Ndombe,2017,21,,
Maï-Ndombe,2018,52,,
Maï-Ndombe,2018,51,,
Maï-Ndombe,2018,47,,
Maï-Ndombe,2018,3,,
Maniema,2015,46,,
Maniema,2015,42,,
Maniema,2015,38,,
Maniema,2015,35,,
Maniema,2015,24,,
Maniema,2015,21,,
Maniema,2015,19,,
Maniema,2015,14,,
Maniema,2015,9,,
Maniema,2016,38,,
Maniema,2016,37,,
Maniema,2016,20,,
Maniema,2016,15,,
Maniema,2016,4,,
Maniema,2017,49,,
Maniema,2017,48,,
Maniema,2017,38,,
Maniema,2017,34,,
Maniema,2017,32,,
Maniema,2017,20,,
Maniema,2017,15,,
Maniema,2017,14,,
Maniema,2017,10,,
Maniema,2017,9,,
Maniema,2019,52,,
Maniema,2019,50,,
Maniema,2019,48,,
Maniema,2019,44,,
Maniema,2019,41,,
Maniema,2019,40,,
Maniema,2019,39,,
Maniema,2019,37,,
Maniema,2019,35,,
Maniema,2019,33,,
Maniema,2019,31,,
Maniema,2019,29,,
Maniema,2019,28,,
Maniema,2019,24,,
Maniema,2019,8,,
Maniema,2019,5,,
Maniema,2019,4,,
Maniema,2019,1,,
Mongala,2016,51,,
Mongala,2016,49,,
Mongala,2016,23,,
Mongala,2016,19,,
Mongala,2017,21,,
Nord-Kivu,2011,52,,
Nord-Kivu,2011,51,,
Nord-Kivu,2011,50,,
Nord-Kivu,2011,49,,
Nord-Kivu,2011,48,,
Nord-Kivu,2011,47,,
Nord-Kivu,2011,46,,
Nord-Kivu,2011,45,,
Nord-Kivu,2011,44,,
Nord-Kivu,2011,43,,
Nord-Kivu,2011,42,,
Nord-Kivu,2011,41,,
Nord-Kivu,2011,40,,
Nord-Kivu,2011,39,,
Nord-Kivu,2011,38,,
Nord-Kivu,2011,37,,
Nord-Kivu,2011,36,,
Nord-Kivu,2011,35,,
Nord-Kivu,2011,33,,
Nord-Kivu,2011,32,,
Nord-Kivu,2011,31,,
Nord-Kivu,2011,30,,
Nord-Kivu,2011,29,,
Nord-Kivu,2011,28,,
Nord-Kivu,2011,27,,
Nord-Kivu,2011,26,,
Nord-Kivu,2011,25,,
Nord-Kivu,2011,24,,
Nord-Kivu,2011,22,,
Nord-Kivu,2011,21,,
Nord-Kivu,2011,20,,
Nord-Kivu,2011,19,,
Nord-Kivu,2011,18,,
Nord-Kivu,2011,17,,
Nord-Kivu,2011,16,,
Nord-Kivu,2011,15,,
Nord-Kivu,2011,14,,
Nord-Kivu,2011,13,,
Nord-Kivu,2011,12,,
Nord-Kivu,2011,11,,
Nord-Kivu,2011,10,,
Nord-Kivu,2011,9,,
Nord-Kivu,2011,8,,
Nord-Kivu,2011,7,,
Nord-Kivu,2011,6,,
Nord-Kivu,2011,5,,
Nord-Kivu,2011,4,,
Nord-Kivu,2011,3,,
Nord-Kivu,2012,52,,
Nord-Kivu,2012,51,,
Nord-Kivu,2012,50,,
Nord-Kivu,2012,49,,
Nord-Kivu,2012,48,,
Nord-Kivu,2012,47,,
Nord-Kivu,2012,46,,
Nord-Kivu,2012,45,,
Nord-Kivu,2012,44,,
Nord-Kivu,2012,43,,
Nord-Kivu,2012,42,,
Nord-Kivu,2012,41,,
Nord-Kivu,2012,40,,
Nord-Kivu,2012,39,,
Nord-Kivu,2012,38,,
Nord-Kivu,2012,37,,
Nord-Kivu,2012,36,,
Nord-Kivu,2012,35,,
Nord-Kivu,2012,34,,
Nord-Kivu,2012,33,,
Nord-Kivu,2012,32,,
Nord-Kivu,2012,31,,
Nord-Kivu,2012,30,,
Nord-Kivu,2012,29,,
Nord-Kivu,2012,28,,
Nord-Kivu,2012,27,,
Nord-Kivu,2012,26,,
Nord-Kivu,2012,25,,
Nord-Kivu,2012,24,,
Nord-Kivu,2012,23,,
Nord-Kivu,2012,22,,
Nord-Kivu,2012,21,,
Nord-Kivu,2012,20,,
Nord-Kivu,2012,19,,
Nord-Kivu,2012,18,,
Nord-Kivu,2012,17,,
Nord-Kivu,2012,15,,
Nord-Kivu,2012,14,,
Nord-Kivu,2012,13,,
Nord-Kivu,2012,12,,
Nord-Kivu,2012,11,,
Nord-Kivu,2012,10,,
Nord-Kivu,2012,9,,
Nord-Kivu,2012,7,,
Nord-Kivu,2012,5,,
Nord-Kivu,2012,4,,
Nord-Kivu,2012,3,,
Nord-Kivu,2012,2,,
Nord-Kivu,2012,1,,
Nord-Kivu,2013,52,,
Nord-Kivu,2013,51,,
Nord-Kivu,2013,50,,
Nord-Kivu,2013,49,,
Nord-Kivu,2013,48,,
Nord-Kivu,2013,47,,
Nord-Kivu,2013,46,,
