lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
14376,COD,katanga,kikulahealthdistrict,2013-11-25,2014-05-25,2013,11,25,E.Southern-Africa,ESAF,27.2854913322199,-10.5148130588318
14378,COD,katanga,kilwahealthdistrict,2014-02-03,2014-04-13,2014,2,3,S.Eastern-Africa,SEAF,28.1984376463945,-8.96650821561426
14380,COD,katanga,kinkondjahealthdistrict,2010-05-17,2011-01-16,2010,5,17,Central-Africa,CAF,26.2700945538626,-8.30740057904229
14380,COD,katanga,kinkondjahealthdistrict,2011-12-19,2012-06-03,2011,12,19,Central-Africa,CAF,26.2700945538626,-8.30740057904229
14380,COD,katanga,kinkondjahealthdistrict,2012-08-13,2012-12-02,2012,8,13,Central-Africa,CAF,26.2700945538626,-8.30740057904229
14380,COD,katanga,kinkondjahealthdistrict,2014-02-24,2014-05-25,2014,2,24,Central-Africa,CAF,26.2700945538626,-8.30740057904229
14380,COD,katanga,kinkondjahealthdistrict,2014-09-01,2014-12-28,2014,9,1,Central-Africa,CAF,26.2700945538626,-8.30740057904229
14382,COD,katanga,kisangahealthdistrict,2013-03-04,2013-07-07,2013,3,4,E.Southern-Africa,ESAF,27.5523389383152,-11.9168311089732
14383,COD,katanga,kitengehealthdistrict,2012-09-10,2013-03-24,2012,9,10,Central-Africa,CAF,25.7254689590568,-6.51990224140868
14385,COD,katanga,kongolohealthdistrict,2010-10-18,2011-02-06,2010,10,18,S.Eastern-Africa,SEAF,26.563842105573,-5.40837241575615
14385,COD,katanga,kongolohealthdistrict,2011-09-26,2011-12-11,2011,9,26,S.Eastern-Africa,SEAF,26.563842105573,-5.40837241575615
14389,COD,katanga,lubudihealthdistrict,2014-11-24,2014-12-28,2014,11,24,E.Southern-Africa,ESAF,26.106890154734,-10.0788181920713
14391,COD,katanga,lukafuhealthdistrict,2014-02-24,2014-06-29,2014,2,24,S.Eastern-Africa,SEAF,27.6742238616803,-10.673611489606
14393,COD,katanga,malembankuluhealthdistrict,2010-06-28,2011-03-27,2010,6,28,Central-Africa,CAF,26.6433362900814,-7.96226565659462
14393,COD,katanga,malembankuluhealthdistrict,2012-08-27,2013-02-10,2012,8,27,Central-Africa,CAF,26.6433362900814,-7.96226565659462
14393,COD,katanga,malembankuluhealthdistrict,2014-08-25,2014-12-28,2014,8,25,Central-Africa,CAF,26.6433362900814,-7.96226565659462
14397,COD,katanga,mitwabahealthdistrict,2014-10-27,2014-11-23,2014,10,27,S.Eastern-Africa,SEAF,27.2960738541688,-8.83715801222746
14400,COD,katanga,mukangahealthdistrict,2010-01-11,2010-04-04,2010,1,11,S.Eastern-Africa,SEAF,26.9855104329534,-8.25060825666422
14400,COD,katanga,mukangahealthdistrict,2012-12-24,2013-03-03,2012,12,24,S.Eastern-Africa,SEAF,26.9855104329534,-8.25060825666422
14401,COD,katanga,mulongohealthdistrict,2012-09-10,2012-12-30,2012,9,10,S.Eastern-Africa,SEAF,27.381279751674,-7.79569698114523
14403,COD,katanga,nyembahealthdistrict,2011-08-15,2012-02-12,2011,8,15,S.Eastern-Africa,SEAF,28.8832779338081,-5.47535997387938
14403,COD,katanga,nyembahealthdistrict,2014-08-11,2014-11-23,2014,8,11,S.Eastern-Africa,SEAF,28.8832779338081,-5.47535997387938
14406,COD,katanga,pwetohealthdistrict,2013-02-18,2013-08-18,2013,2,18,S.Eastern-Africa,SEAF,29.0066910510668,-8.13896627494978
14455,COD,kinshasa,malukuihealthdistrict,2011-09-05,2012-07-01,2011,9,5,Central-Africa,CAF,16.1564294124834,-4.45135032756054
14456,COD,kinshasa,malukuiihealthdistrict,2011-06-27,2012-12-30,2011,6,27,Central-Africa,CAF,15.782212160214799,-4.41514724001778
14460,COD,kinshasa,montngafulaihealthdistrict,2011-07-18,2011-10-30,2011,7,18,Central-Africa,CAF,15.2984579862117,-4.53698765847868
14466,COD,kinshasa,nselehealthdistrict,2011-09-19,2012-07-29,2011,9,19,Central-Africa,CAF,15.5825286258487,-4.42065574036702
14472,COD,kongocentral,bomabunguhealthdistrict,2012-02-13,2012-11-25,2012,2,13,Central-Africa,CAF,12.974745026035,-5.74085276011705
14481,COD,kongocentral,kitonahealthdistrict,2012-03-26,2012-10-28,2012,3,26,Central-Africa,CAF,12.4428504714912,-5.96905791024223
14489,COD,kongocentral,moandahealthdistrict,2012-01-23,2012-11-18,2012,1,23,Central-Africa,CAF,12.4973722570861,-5.85091798364434
14517,COD,lualaba,dilalahealthdistrict,2019-12-09,2019-12-29,2019,12,9,E.Southern-Africa,ESAF,25.234624782376,-10.575339496982
14518,COD,lualaba,fungurumehealthdistrict,2017-10-30,2018-01-28,2017,10,30,E.Southern-Africa,ESAF,26.2728395202438,-10.7161066528111
14967,COD,lualaba,kanzenzehealthdistrict,2018-12-24,2019-02-03,2018,12,24,E.Southern-Africa,ESAF,25.4394526142286,-10.0132467348981
14969,COD,lualaba,manikahealthdistrict,2019-02-04,2019-03-31,2019,2,4,E.Southern-Africa,ESAF,26.0715453685524,-11.4863125770872
14969,COD,lualaba,manikahealthdistrict,2019-11-25,2019-12-29,2019,11,25,E.Southern-Africa,ESAF,26.0715453685524,-11.4863125770872
14537,COD,maindombe,niokihealthdistrict,2017-09-04,2017-09-24,2017,9,4,Central-Africa,CAF,17.6759929778883,-2.89993624523683
14548,COD,maniema,kailohealthdistrict,2015-10-19,2015-11-15,2015,10,19,Central-Africa,CAF,25.684785787755,-2.50115602011497
14548,COD,maniema,kailohealthdistrict,2019-09-30,2019-11-03,2019,9,30,Central-Africa,CAF,25.684785787755,-2.50115602011497
14554,COD,maniema,lubutuhealthdistrict,2011-08-29,2011-10-23,2011,8,29,S.Eastern-Africa,SEAF,26.9164117586406,-0.623244587008098
14233,COD,mongala,bumbahealthdistrict,2016-04-18,2016-06-05,2016,4,18,Central-Africa,CAF,22.7032473006084,2.24056131412416
14586,COD,nordkivu,kibuahealthdistrict,2017-11-13,2018-06-03,2017,11,13,S.Eastern-Africa,SEAF,28.4771767257487,-1.21792882060389
14587,COD,nordkivu,kirotshehealthdistrict,2010-10-18,2011-02-20,2010,10,18,S.Eastern-Africa,SEAF,29.0145348382847,-1.50495086218057
14587,COD,nordkivu,kirotshehealthdistrict,2011-08-29,2012-03-25,2011,8,29,S.Eastern-Africa,SEAF,29.0145348382847,-1.50495086218057
14587,COD,nordkivu,kirotshehealthdistrict,2012-11-26,2013-05-19,2012,11,26,S.Eastern-Africa,SEAF,29.0145348382847,-1.50495086218057
14587,COD,nordkivu,kirotshehealthdistrict,2013-09-09,2014-02-16,2013,9,9,S.Eastern-Africa,SEAF,29.0145348382847,-1.50495086218057
14587,COD,nordkivu,kirotshehealthdistrict,2017-07-31,2018-02-18,2017,7,31,S.Eastern-Africa,SEAF,29.0145348382847,-1.50495086218057
14588,COD,nordkivu,kyondohealthdistrict,2010-03-22,2010-07-25,2010,3,22,S.Eastern-Africa,SEAF,29.5116761738063,0.0100986806872127
14589,COD,nordkivu,luberohealthdistrict,2011-05-02,2011-07-03,2011,5,2,S.Eastern-Africa,SEAF,29.3606472408695,-0.294745779416234
14591,COD,nordkivu,masisihealthdistrict,2012-12-31,2013-07-07,2012,12,31,S.Eastern-Africa,SEAF,28.7066804624456,-1.4777295313152
14593,COD,nordkivu,mutwangahealthdistrict,2012-01-23,2012-06-17,2012,1,23,S.Eastern-Africa,SEAF,29.7229657492875,0.303778533654318
14594,COD,nordkivu,mwesohealthdistrict,2017-10-09,2017-12-10,2017,10,9,S.Eastern-Africa,SEAF,28.9127402350939,-1.17807756334358
14594,COD,nordkivu,mwesohealthdistrict,2011-01-31,2012-10-14,2011,1,31,S.Eastern-Africa,SEAF,28.9127402350939,-1.17807756334358
14594,COD,nordkivu,mwesohealthdistrict,2013-10-21,2013-12-15,2013,10,21,S.Eastern-Africa,SEAF,28.9127402350939,-1.17807756334358
14597,COD,nordkivu,pingahealthdistrict,2010-02-08,2010-05-30,2010,2,8,S.Eastern-Africa,SEAF,28.4667420396549,-0.631875685324184
14597,COD,nordkivu,pingahealthdistrict,2011-06-13,2011-10-16,2011,6,13,S.Eastern-Africa,SEAF,28.4667420396549,-0.631875685324184
14598,COD,nordkivu,rutshuruhealthdistrict,2012-10-08,2013-03-31,2012,10,8,S.Eastern-Africa,SEAF,29.4007165799028,-1.29606514925273
14599,COD,nordkivu,rwangubahealthdistrict,2010-03-29,2010-07-18,2010,3,29,S.Eastern-Africa,SEAF,29.5394430034552,-1.2218339439978
14599,COD,nordkivu,rwangubahealthdistrict,2011-05-23,2011-07-31,2011,5,23,S.Eastern-Africa,SEAF,29.5394430034552,-1.2218339439978
14599,COD,nordkivu,rwangubahealthdistrict,2012-06-04,2012-09-30,2012,6,4,S.Eastern-Africa,SEAF,29.5394430034552,-1.2218339439978
14600,COD,nordkivu,vuhovihealthdistrict,2011-10-10,2012-01-01,2011,10,10,S.Eastern-Africa,SEAF,29.2541099515651,0.251181624469313
14601,COD,nordkivu,walikalehealthdistrict,2015-09-07,2015-09-27,2015,9,7,S.Eastern-Africa,SEAF,27.8016944439607,-1.12885999756817
14985,COD,nordubangi,bilihealthdistrict,2016-05-30,2016-10-09,2016,5,30,Central-Africa,CAF,19.7181035401321,4.79155408888066
